title,authors,language_code
Eudora Welty: Photographs,Eudora Welty/Reynolds Price,eng
On Writing,Eudora Welty/Richard Bausch,eng
Essential Welty: Why I Live at the P.O.  A Memory  Powerhouse and Petrified Man,Eudora Welty,eng
Losing Battles,Eudora Welty,eng
The Eye of the Story: Selected Essays and Reviews,Eudora Welty,eng
The Golden Apples,Eudora Welty,eng
One Writer's Beginnings,Eudora Welty,eng
The Spirit Catches You and You Fall Down: A Hmong Child  Her American Doctors  and the Collision of Two Cultures,Anne Fadiman,eng
Hegemony or Survival: America's Quest for Global Dominance,Noam Chomsky,eng
The Chomsky-Foucault Debate: On Human Nature,Noam Chomsky/Michel Foucault/John Rajchman,eng
Media Control: The Spectacular Achievements of Propaganda,Noam Chomsky,eng
11 de Septiembre,Noam Chomsky,spa
On Anarchism,Noam Chomsky/Barry Pateman,eng
The Chomsky Reader,Noam Chomsky,eng
Language and Mind,Noam Chomsky,eng
Perilous Power: The Middle East & US Foreign Policy,Noam Chomsky/Gilbert Achcar/Stephan R. Shalom,en-GB
What Uncle Sam Really Wants,Noam Chomsky/Arthur Naiman/David Barsamian/Sandy Niemann,eng
Imperial Ambitions: Conversations on the Post-9/11 World,Noam Chomsky/David Barsamian,eng
On MisEducation (Critical Perspectives),Noam Chomsky/Donaldo Macedo,eng
Aspects of the Theory of Syntax,Noam Chomsky,eng
On Democracy & Education (Social Theory  Education & Cultural Change),Noam Chomsky/C.P. Otero,en-US
Cat Breaking Free (Joe Grey  #11),Shirley Rousseau Murphy,eng
Confessions,Jean-Jacques Rousseau/Patrick Coleman/Angela Scholar,eng
Cat Cross Their Graves (Joe Grey  #10),Shirley Rousseau Murphy,eng
The Social Contract,Jean-Jacques Rousseau/Maurice Cranston,eng
Cat in the Dark (Joe Grey  #4),Shirley Rousseau Murphy,en-US
The Source,James A. Michener,eng
Hawaii,James A. Michener,eng
Chesapeake,James A. Michener,eng
Caravans,James A. Michener,eng
Iberia,James A. Michener/Robert Vavra,eng
Centennial,James A. Michener,eng
Carrie (Biblioteca de Stephen King. 102  8),Stephen King/Gregorio Vlastelica,spa
Carrie,Stephen King,spa
The Shining,Stephen King,eng
The Shining,Stephen King/Campbell Scott,eng
The Shining,Stephen King,eng
Marley & Me: Life and Love with the World's Worst Dog,John Grogan,en-US
Marley and Me: Life and Love With the World's Worst Dog,John Grogan,eng
Wuthering Heights,Emily Brontë/Alice Hoffman,eng
Brodie's notes on Aldous Huxley's brave new world,Graham Handley,eng
The Moon Is Down,John Steinbeck,eng
Ride the Moon Down,Terry C. Johnston,en-US
Drawing Down the Moon: Witches  Druids  Goddess-Worshippers  and Other Pagans in America,Margot Adler,eng
Sing Down the Moon,Scott O'Dell,eng
Light in August,William Faulkner,eng
The Transit of Venus,Shirley Hazzard,eng
Kingsblood Royal,Sinclair Lewis/Charles R. Johnson,en-US
Swann's Way (In Search of Lost Time  #1),Marcel Proust/Lydia Davis,eng
Swann's Way (Remembrance of Things Past  #1),Marcel Proust/C.K. Scott Moncrieff/Elizabeth Dalton,en-US
Swann's Way (Remembrance of Things Past  #1),Marcel Proust/C.K. Scott Moncrieff,eng
Lady of the Lake,Elizabeth Mayne,eng
A Kiss Before Dying,Ira Levin/Otto Penzler,eng
A Kiss Before Dying (Sweet Valley High  #122),Francine Pascal/Kate William,eng
The Satanic Verses,Salman Rushdie,eng
The City of Falling Angels,John Berendt,eng
Falling Angel,William Hjortsberg/Ridley Scott/James Crumley,eng
Falling Angels (Luc Actar #1),Melissa M. Garcia,eng
The Collaborator: The Trial and Execution of Robert Brasillach,Alice Kaplan,eng
Ulysses,James Joyce/Craig Raine,eng
The Crazed,Ha Jin,eng
Chickenhawk: Back in the World Again: Life After Vietnam,Robert Mason,eng
Nuns and Soldiers,Iris Murdoch/Karen Armstrong,eng
Sir Gawain And The Green Knight,Michael Morpurgo/Michael Foreman,eng
Cliffs Notes on Wiesel's Night,Maryam Riess,eng
The Night Trilogy: Night  Dawn  the Accident,Elie Wiesel/Marion Wiesel,eng
Strong Motion,Jonathan Franzen,eng
How to Be Alone,Jonathan Franzen,eng
The Twenty-Seventh City,Jonathan Franzen,eng
Second Ring of Power,Carlos Castañeda,en-US
The Active Side of Infinity,Carlos Castañeda,eng
Journey to Ixtlan,Carlos Castañeda,eng
The Wheel of Time: The Shamans of Mexico Their Thoughts About Life Death & the Universe,Carlos Castañeda,eng
Power of Silence,Carlos Castañeda,eng
Tales of Power,Carlos Castañeda,en-US
Fire from Within,Carlos Castañeda,en-US
The Art of Dreaming,Carlos Castañeda,eng
The Best Stories of Fyodor Dostoevsky,Fyodor Dostoyevsky/David Magarshack,eng
The Best Short Stories,Fyodor Dostoyevsky/David Magarshack,eng
Demons,Fyodor Dostoyevsky/Richard Pevear/Larissa Volokhonsky,eng
The Idiot,Fyodor Dostoyevsky/Richard Pevear/Larissa Volokhonsky,eng
Great Short Works of Fyodor Dostoevsky,Fyodor Dostoyevsky/Ronald Hingley,eng
The Idiot,Fyodor Dostoyevsky/Constance Garnett/Joseph Frank,eng
Celtic Tree Mysteries: Practical Druid Magic & Divination,Steve Blamires/Sandy Leuthner,en-US
Rebecca,Daphne du Maurier/Sally Beauman,en-US
Betraying Spinoza: The Renegade Jew Who Gave Us Modernity,Rebecca Goldstein,en-US
Shadow of the Moon (Moon #5),Rebecca York,eng
Black Lamb and Grey Falcon,Rebecca West/Christopher Hitchens,eng
Operation Shylock: A Confession,Philip Roth,eng
Operation Shylock. Ein Bekenntnis,Philip Roth,ger
Lost in the Funhouse,John Barth,eng
CliffsNotes on Faulkner's As I Lay Dying (Cliffs Notes),James Lamar Roberts/William Faulkner/CliffsNotes,eng
The Sound and the Fury  As I Lay Dying  Sanctuary  Intruder in the Dust,William Faulkner,eng
CliffsNotes on Faulkner's Absalom  Absalom!,James Lamar Roberts/CliffsNotes,eng
The Aeneid,Virgil/Robert Fagles/Bernard Knox,eng
The Aeneid,Virgil/Robert Fitzgerald,eng
The Aeneid,Virgil/David   West,eng
Aeneid,Virgil/Stanley Lombardo/W. R. Johnson,eng
Virgil  Vol 2: Aeneid Books 7-12  Appendix Vergiliana,Virgil/G.P. Goold,mul
The Castle of Otranto,Horace Walpole/E.F. Bleiler/Walter Scott,eng
The Castle of Otranto,Horace Walpole,eng
Messenger (The Giver  #3),Lois Lowry,eng
Gossamer,Lois Lowry,eng
Anastasia on Her Own (Anastasia Krupnik  #5),Lois Lowry,eng
Stay!: Keeper's Story,Lois Lowry/True Kelley,eng
Gathering Blue (The Giver  #2),Lois Lowry,eng
See You Around  Sam! (Sam Krupnik  #3),Lois Lowry/Diane deGroat,eng
King Lear,William Shakespeare,eng
King Lear,William Shakespeare/Roma Gill,eng
King Lear,William Shakespeare/R.A. Foakes,eng
King Lear,William Shakespeare/Barbara A. Mowat/Paul Werstine,eng
The Turn of the Screw (Norton Critical Edition),Henry James/Deborah Esch/Jonathan Warren,eng
The Turn of the Screw and The Aspern Papers,Henry James/Anthony Curtis,eng
The Turn of the Screw and Other Short Fiction,Henry James/R.W.B. Lewis,eng
The Turn of the Screw,Henry James/Peter G. Beidler,eng
Much Ado about Nothing,William Shakespeare/Mary Berry/Michael Clamp,eng
Much Ado About Nothing,William Shakespeare/David L. Stevenson,eng
Much Ado about Nothing (Oxford School Shakespeare),William Shakespeare/Roma Gill,eng
Much Ado about Nothing,William Shakespeare/Samuel West/Amanda Root/Arkangel Cast,eng
Much Ado about Nothing,William Shakespeare/F.H. Mares,eng
Winter's Tale,Mark Helprin,eng
Winter's Tales,Isak Dinesen/Karen Blixen,eng
Twelfth Night,William Shakespeare/Alan Durband,eng
Twelfth Night,William Shakespeare/Barbara A. Mowat/Paul Werstine,eng
Twelfth Night,William Shakespeare,en-GB
Tempest (Star Wars: Legacy of the Force  #3),Troy Denning,eng
Red: Passion and Patience in the Desert,Terry Tempest Williams,eng
Hamlet  The Texts of 1603 and 1623,William Shakespeare/Neil Taylor,eng
Hamlet's Dresser: A Memoir,Bob      Smith,eng
The Hamlet,William Faulkner,eng
Othello,William Shakespeare,eng
Othello,William Shakespeare/David Threlfall/Don Warrington/Anne-Marie Duff/Arkangel Cast,eng
Othello,William Shakespeare/Barbara A. Mowat/Paul Werstine,eng
Julius Caesar,William Shakespeare/Roma Gill,eng
Julius Caesar,William Shakespeare/John   Bowe/Michael Feast/Adrian Lester,eng
Julius Caesar,William Shakespeare/Marvin Spevack/Marga Munkelt,eng
Julius Caesar,William Shakespeare/SparkNotes,eng
Cliffsnotes on Shakespeare's Henry IV  Part 1,James K. Lowers/William Shakespeare/CliffsNotes,eng
King Henry IV  Part 1,William Shakespeare/David Scott Kastan,eng
Alice in Wonderland,Lewis Carroll/Jane Carruth/Rene Cloke,eng
Alice In Wonderland,Lewis Carroll/John Tenniel,eng
The Alexandria Quartet  (The Alexandria Quartet #1-4),Lawrence Durrell,eng
Justine (The Alexandria Quartet #1),Lawrence Durrell,eng
Clea (The Alexandria Quartet #4),Lawrence Durrell,en-US
Siddhartha,Hermann Hesse,eng
Kate Vaiden,Reynolds Price,eng
The Social Contract and The First and Second Discourses,Jean-Jacques Rousseau/Susan Dunn/Gita May/Robert N. Bellah/David Bromwich/Conor           Cruise O'Brien,eng
Nature Girl,Carl Hiaasen,eng
Stormy Weather,Carl Hiaasen,en-US
Skin Tight (Mick Stranahan  #1),Carl Hiaasen,en-US
Basket Case,Carl Hiaasen,eng
Tourist Season,Carl Hiaasen,eng
Sick Puppy,Carl Hiaasen,eng
Flush,Carl Hiaasen,eng
Double Whammy (Skink #1),Carl Hiaasen,eng
Naked Came the Manatee,Carl Hiaasen/Elmore Leonard/Dave Barry/James W. Hall/Edna Buchanan/Les Standiford/Paul Levine/Brian Antoni/Tananarive Due/John Dufresne/Vicki Hendricks/Carolina Hospital/Evelyn Mayerson,eng
Strip Tease,Carl Hiaasen,eng
Basket Case,Carl Hiaasen,eng
A Carl Hiaasen Collection: Stormy Weather  Tourist Season  and  Strip Tease,Carl Hiaasen/Edward Asner,eng
Skinny Dip (Mick Stranahan #2),Carl Hiaasen,eng
Hoot,Carl Hiaasen,eng
Suburban Nation: The Rise of Sprawl and the Decline of the American Dream,Andrés Duany/Elizabeth Plater-Zyberk/Jeff Speck,eng
The Bible Cure For Diabetes,Don Colbert,eng
The Celestine Prophecy: A Pocket Guide to the Nine Insights,James Redfield,eng
The Tenth Insight: Holding the Vision (Celestine Prophecy  #2),James Redfield,eng
The Celestine Prophecy,James Redfield/Lou Diamond Phillips,en-US
The Celestine Prophecy: An Experiential Guide,James Redfield,eng
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,eng
The Dark Side Of Genius: The Life Of Alfred Hitchcock,Donald Spoto,en-US
Enchantment: The Life of Audrey Hepburn,Donald Spoto,eng
Marilyn Monroe: The Biography,Donald Spoto,eng
Cross (Alex Cross  #12),James Patterson,eng
Judge & Jury,James Patterson/Andrew Gross,eng
The 6th Target (Women's Murder Club  #6),James Patterson/Maxine Paetro,eng
The Quickie,James Patterson/Michael Ledwidge,eng
You've Been Warned,James Patterson/Howard Roughan,eng
2nd Chance (Women's Murder Club  #2),James Patterson/Andrew Gross,eng
1st to Die (Women's Murder Club  #1),James Patterson,eng
Season of the Machete,James Patterson,eng
School's Out—Forever (Maximum Ride  #2),James Patterson,eng
Jack & Jill (Alex Cross  #3),James Patterson,eng
The Midnight Club,James Patterson,eng
Cat & Mouse (Alex Cross #4),James Patterson,eng
Pop Goes the Weasel (Alex Cross  #5),James Patterson,eng
Roses Are Red (Alex Cross  #6),James Patterson,eng
Along Came a Spider (Alex Cross  #1),James Patterson,eng
Black Friday,James Patterson,eng
Honeymoon (Honeymoon  #1),James Patterson/Howard Roughan,eng
Kiss the Girls (Alex Cross  #2),James Patterson,eng
The Thomas Berryman Number,James Patterson,eng
London Bridges (Alex Cross  #10),James Patterson,eng
The Angel Experiment (Maximum Ride  #1),James Patterson,eng
3rd Degree (Women's Murder Club  #3),James Patterson/Andrew Gross,eng
The Jester,James Patterson/Andrew Gross,eng
See How They Run,James Patterson,eng
Miracle on the 17th Green (Travis McKinley  #1),James Patterson/Peter de Jonge,eng
When the Wind Blows (When the Wind Blows  #1),James Patterson,eng
SantaKid,James Patterson/Michael Garland,eng
A Little Prairie House,Laura Ingalls Wilder/Renée Graef,eng
Private Parts,Howard Stern,eng
The Private Parts of Women,Lesley Glaister,eng
Green Arrow  Vol. 1: Quiver,Kevin Smith/Phil Hester/Ande Parks,en-US
Quiver,Stephanie Spinner,en-US
A Quiver Full of Arrows,Jeffrey Archer,eng
Celebrations: Rituals of Peace and Prayer,Maya Angelou,eng
The Collected Autobiographies of Maya Angelou,Maya Angelou,eng
Wouldn't Take Nothing for My Journey Now,Maya Angelou,eng
And Still I Rise,Maya Angelou/Linda Sunshine/Diego Rivera,eng
Life Doesn't Frighten Me,Maya Angelou/Jean-Michel Basquiat/Sara Jane Boyers,eng
Cumbres borrascosas,Emily Brontë,spa
Dreaming in Pictures: The Photography,Lewis Carroll/Douglas R. Nickel,eng
Lewis Carroll's Jabberwocky: A Book of Brillig Dioramas,Lewis Carroll/Graeme Base,eng
The Collected Short Stories of Maxim Gorky,Maxim Gorky/Avrahm Yarmolinsky/Moura Budberg,eng
Name Dropping,Jane Heller,eng
Many Luscious Lollipops: A Book About Adjectives,Ruth Heller,en-US
What Was She Thinking? [Notes on a Scandal],Zoë Heller,eng
Night of Long Shadows (Eberron: Inquisitives  #2),Paul Crilley,en-US
Poetics,Aristotle/Malcolm Heath,eng
Poetics of Music in the Form of Six Lessons,Igor Stravinsky/George Seferis/Arthur Knodel/Ingolf Dahl,eng
An Introduction to the Old Testament Poetic Books,C. Hassell Bullock,eng
Mondrian,John Milner/Piet Mondrian,eng
Writings on Art,Mark Rothko/Miguel López-Remiro,eng
The Legacy of Mark Rothko,Lee Seldes,eng
Mark Rothko,Diane Waldman/Bernard Malamud,eng
Mark Rothko  1903 1970,Diane Waldman,eng
A World of Art,Henry M. Sayre,eng
Olympian Odes. Pythian Odes,Pindar/William H. Race,mul
The Odes,Pindar/Cecil Maurice Bowra/Daniel C. Snell/Dawson William Turner/Maehler/Abraham Moore,eng
The Odes and Selected Fragments,Pindar/G.S. Conway/Richard Stoneman,eng
Nemean Odes. Isthmian Odes. Fragments,Pindar/William H. Race,mul
Sabriel (Abhorsen  #1),Garth Nix,en-US
Euripides 3: Alcestis/Daughters of Troy/The Phoenician Women/Iphigenia at Aulis/Rhesus,Euripides/David R. Slavitt/Smith Palmer Bovie/Fred Chappell/Mark Rudman/Elaine Terranova/Richard Elman/Katharine Washburn/George D. Economou,eng
Eragon: Prima Official Game Guide,Prima Publishing,eng
Battlefield of the Mind: Winning the Battle in Your Mind,Joyce Meyer,en-US
A Lady At Last (deWarenne Dynasty  #7),Brenda Joyce,eng
James Joyce's Ulysses,Stuart Gilbert,eng
A Complicated Kindness,Miriam Toews,eng
A Complicated Kindness (Bookclub-In-A-Box),Marilyn Herbert/Miriam Toews,eng
Race of Scorpions (The House of Niccolo  #3),Dorothy Dunnett,eng
Vinyl Cafe Odd Jobs,Stuart McLean,eng
Vinyl Cafe Coast to Coast Story Service,Stuart McLean,eng
Vinyl Cafe Diaries (Vinyl Cafe  #4),Stuart McLean,eng
Checkmate (Tom Clancy's Splinter Cell  #3),David  Michaels/Tom Clancy,eng
Operation Barracuda (Tom Clancy's Splinter Cell  #2),David  Michaels/Raymond Benson/Tom Clancy,eng
Splinter Cell (Tom Clancy's Splinter Cell  #1),David  Michaels/Raymond Benson/Tom Clancy,eng
Dark Visions,Douglas E. Winter/Dan Simmons/Stephen King/George R.R. Martin,en-US
Ancilla to the Pre-Socratic Philosophers,Kathleen Banks Freeman/Hermann Alexander Diels,eng
The Presocratics,Philip Ellis Wheelwright,en-US
The Presocratic Philosophers,Geoffrey S. Kirk/John Earle Raven/Malcolm Schofield,eng
Presocratic Philosophy: A Very Short Introduction,Catherine Osborne,eng
The Presocratic Philosophers,Jonathan Barnes/Ted Honderich,eng
The First Philosophers: The Presocratics and Sophists,Robin Waterfield/Anaximander/Anaximenes/Empedocles/Gorgias of Leontini/Heraclitus/Parmenides/Protagoras/Pythagoras/Thales/Thrasymachus/Zeno of Elea,eng
Skeleton Crew,Stephen King,eng
Night Shift,Stephen King,eng
The Talisman,Stephen King/Peter Straub,eng
El retrato de Rose Madder,Stephen King/Bettina Blanch Tyroller,spa
The Dark Half,Stephen King,eng
La Milla Verde,Stephen King/María Eugenia Ciocchini Suárez,spa
Storm of the Century,Stephen King,eng
Girls Think of Everything: Stories of Ingenious Inventions by Women,Catherine Thimmesh/Melissa Sweet,eng
How Dogs Think: What the World Looks Like to Them and Why They Act the Way They Do,Stanley Coren,en-US
The How to Think Like Leonardo da Vinci Workbook: Your Personal Companion to How to Think Like Leonardo da Vinci,Michael J. Gelb,eng
Brit-Think  Ameri-Think: A Transatlantic Survival Guide,Jane Walmsley,eng
What You Think of Me Is None of My Business,Terry Cole-Whittaker,en-US
Think on These Things,Jiddu Krishnamurti/D. Rajagopal,eng
Think Like a Cat: How to Raise a Well-Adjusted Cat—Not a Sour Puss,Pam Johnson-Bennett,eng
Think Like a Guy: How to Get a Guy by Thinking Like One,Giuliana DePandi,en-US
How to Think Theologically,Howard W. Stone/James O. Duke,en-US
JoJo's Bizarre Adventure  Vol. 6 (Stardust Crusaders  #6),Hirohiko Araki,eng
JoJo's Bizarre Adventure  Vol. 4 (Stardust Crusaders  #4),Hirohiko Araki,eng
JoJo's Bizarre Adventure  Vol. 5 (Stardust Crusaders  #5),Hirohiko Araki,eng
JoJo's Bizarre Adventure  Vol. 7 (Stardust Crusaders  #7),Hirohiko Araki,eng
Jojo's Bizarre Adventure  Tome 4: Dans la salle du dragon à deux têtes (Phantom Blood  #4),Hirohiko Araki,fre
JoJo's Bizarre Adventure  Vol. 8 (Stardust Crusaders  #8),Hirohiko Araki,eng
Jojo's Bizarre Adventure  Tome 17: L'Amoureux terrible (Stardust Crusaders  #5),Hirohiko Araki/Hirohiko Araki,fre
Jojo's Bizarre Adventure  Tome 6: Jojo contre la forme de vie ultime (Battle Tendency  #1),Hirohiko Araki,fre
Fevre Dream,George R.R. Martin,eng
The Hedge Knight (The Tales of Dunk and Egg  #1),Ben Avery/Mike S. Miller/George R.R. Martin/Mike Crowell,eng
A Clash of Kings (A Song of Ice and Fire  #2),George R.R. Martin/Roy Dotrice,eng
Tuf Voyaging,George R.R. Martin,en-US
Jack of Kinrowan: Jack the Giant-Killer / Drink Down the Moon,Charles de Lint,eng
Lies My Teacher Told Me: Everything Your History Textbook Got Wrong,James W. Loewen,eng
Lies My Teacher Told Me about Christopher Columbus: What Your History Books Got Wrong,James W. Loewen,eng
C.G. Jung and Hermann Hesse: A Book of Two Friendships,Miguel Serrano,eng
The Journey to the East,Hermann Hesse/Hilda Rosner,eng
Son of a Witch (The Wicked Years  #2),Gregory Maguire/Douglas Smith/Jelena Bojić,eng
March,Geraldine Brooks,eng
Foreign Correspondence: A Pen Pal's Journey from Down Under to All Over,Geraldine Brooks,eng
Jojo's Bizarre Adventure  Tome 1: Dio  L'envahisseur (Phantom Blood  #1),Hirohiko Araki,fre
Jojo's Bizarre Adventure  Tome 19: La Lampe Magique (Stardust Crusaders  #7),Hirohiko Araki/Hirohiko Araki,fre
Jojo's Bizarre Adventure  Tome 14: Le Navire désert et le Singe (Stardust Crusaders  #2),Hirohiko Araki/Hirohiko Araki,fre
Jojo's Bizarre Adventure  Tome 13: Le Maléfice de Dio (Stardust Crusaders  #1),Hirohiko Araki/Hirohiko Araki,fre
Jojo's Bizarre Adventure  Tome 5: La dernière onde (Phantom Blood  #5),Hirohiko Araki,fre
Jojo's Bizarre Adventure  Tome 9: Ruée vers la falaise de la mort! (Battle Tendency  #4),Hirohiko Araki,fre
Jojo's Bizarre Adventure  Tome 18: Death Thirteen (Stardust Crusaders  #6),Hirohiko Araki/Hirohiko Araki,fre
Jojo's Bizarre Adventure  Tome 11: Le guerrier qui retourne au vent (Battle Tendency  #6),Hirohiko Araki,fre
Jojo's Bizarre Adventure  Tome 16: L'Expérience du combat ! (Stardust Crusaders  #4),Hirohiko Araki/Hirohiko Araki,fre
Jojo's Bizarre Adventure  Tome 14: Le revolver est plus fort que l'épée (Stardust Crusaders  #3),Hirohiko Araki/Hirohiko Araki,fre
From Far Away  Vol. 12,Kyoko Hikawa/Yuko Sawada/Freeman Wong,eng
From Far Away  Vol. 13,Kyoko Hikawa/Yuko Sawada/Freeman Wong,eng
From Far Away  Vol. 14,Kyoko Hikawa/Yuko Sawada/Freeman Wong,eng
Very Far Away from Anywhere Else,Ursula K. Le Guin,en-US
Vagabond  Volume 20,Takehiko Inoue,eng
彼方から 13,Kyoko Hikawa,jpn
Tsubasa: RESERVoir CHRoNiCLE  Vol. 11,CLAMP/William Flanagan,eng
Tsubasa: RESERVoir CHRoNiCLE  Vol. 3,CLAMP/William Flanagan,eng
Tsubasa: RESERVoir CHRoNiCLE  Vol. 1,CLAMP/Anthony Gerard,eng
Tsubasa: RESERVoir CHRoNiCLE  Vol. 10,CLAMP/William Flanagan,eng
Tsubasa: RESERVoir CHRoNiCLE  Vol. 8,CLAMP/William Flanagan,eng
Tsubasa: RESERVoir CHRoNiCLE  Vol. 6,CLAMP/William Flanagan,eng
Tsubasa: RESERVoir CHRoNiCLE  Vol. 04 (Tsubasa: RESERVoir CHRoNiCLE  #4),CLAMP/William Flanagan,eng
Tsubasa: RESERVoir CHRoNiCLE  Vol. 09,CLAMP/William Flanagan,eng
Tsubasa: RESERVoir CHRoNiCLE  Vol. 12,CLAMP/William Flanagan,eng
ツバサ-RESERVoir CHRoNiCLE- 4,CLAMP,jpn
ツバサ-RESERVoir CHRoNiCLE- 6,CLAMP,jpn
ツバサ-RESERVoir CHRoNiCLE- 3,CLAMP,jpn
ツバサ-RESERVoir CHRoNiCLE- 7,CLAMP,jpn
ツバサ-RESERVoir CHRoNiCLE- 8,CLAMP,jpn
Hikaru no Go  Vol. 7: The Young Lions Tournament (Hikaru no Go  #7),Yumi Hotta/Takeshi Obata,eng
Hikaru no Go  Vol. 8: The Pro Test Preliminaries: Day Four (Hikaru no Go  #8),Yumi Hotta/Takeshi Obata,eng
Hikaru no Go  Vol. 1: Descent of the Go Master (Hikaru no Go  #1),Yumi Hotta/Takeshi Obata,eng
Hikaru no Go  Vol. 9: The Pro Test Begins (Hikaru no Go  #9),Yumi Hotta/Takeshi Obata/Yukari Umezawa,eng
Hikaru no Go  Vol. 10: Lifeline (Hikaru no Go  #10),Yumi Hotta/Takeshi Obata,eng
ヒカルの碁 18、番外編,Yumi Hotta/Yumi Hotta,jpn
ヒカルの碁 23、あなたに呼びかけている,Yumi Hotta/Yumi Hotta,jpn
ヒカルの碁 7、若獅子戦,Yumi Hotta/Yumi Hotta,jpn
ヒカルの碁 15、さよなら,Yumi Hotta/Yumi Hotta,jpn
ヒカルの碁 13、プロ第一戦,Yumi Hotta/Yumi Hotta,jpn
ヒカルの碁 14、sai vs toya koyo,Yumi Hotta/Yumi Hotta,jpn
ヒカルの碁 16、中国棋院,Yumi Hotta/Yumi Hotta,jpn
ヒカルの碁 6、院生試験,Yumi Hotta/Takeshi Obata,jpn
ヒカルの碁 9、本戦開始,Yumi Hotta/Yumi Hotta,jpn
ヒカルの碁 22、打倒高永夏,Yumi Hotta/Yumi Hotta,jpn
ヒカルの碁 12、新初段シリーズ,Yumi Hotta/Yumi Hotta,jpn
Death Note  Vol. 8: Target (Death Note  #8),Tsugumi Ohba/Takeshi Obata/Tetsuichiro Miyaki,eng
Death Note  Vol. 1: Boredom (Death Note  #1),Tsugumi Ohba/Takeshi Obata/Pookie Rolf,eng
Death Note  Vol. 4: Love (Death Note  #4),Tsugumi Ohba/Alexis Kirsch,eng
Death Note  Vol. 5: Whiteout (Death Note  #5),Tsugumi Ohba/Takeshi Obata/Alexis Kirsch,eng
Death Note  Vol. 3: Hard Run (Death Note  #3),Tsugumi Ohba/Takeshi Obata/Pookie Rolf,eng
Death Note  Vol. 2: Confluence (Death Note  #2),Tsugumi Ohba/Takeshi Obata/Pookie Rolf,eng
Death Note  Vol. 6: Give-and-Take (Death Note  #6),Tsugumi Ohba/Takeshi Obata/Alexis Kirsch,eng
Death Note  Vol. 7: Zero (Death Note  #7),Tsugumi Ohba/Takeshi Obata/Alexis Kirsch,eng
Death Note  Vol. 9: Contact (Death Note  #9),Tsugumi Ohba/Takeshi Obata/Tetsuichiro Miyaki,eng
Death Note  Vol. 10: Deletion (Death Note  #10),Tsugumi Ohba/Takeshi Obata/Tetsuichiro Miyaki,eng
The Worm Ouroboros,E.R. Eddison/Keith   Henderson,eng
Mistress of Mistresses: A Vision of Zimiamvia (The Zimiamvian Trilogy  #1),E.R. Eddison/Gerald Ravenscourt Hayes/Keith   Henderson,eng
The Mezentian Gate,E.R. Eddison,eng
The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,eng
Museum of Terror  Vol. 1: Tomie 1,Junji Ito/伊藤潤二/Naomi Kokubo,eng
Museum of Terror  Vol. 2: Tomie 2,Junji Ito/伊藤潤二/Naomi Kokubo,eng
Museum of Terror  Vol. 3: The Long Hair in the Attic,Junji Ito/伊藤潤二,eng
Tomie 1  富江,Junji Ito/伊藤潤二,eng
Tomie 2  富江 Part 2,Junji Ito/伊藤潤二,eng
Hana Yori Dango: Le jeu da la fin du monde 1 (Boys Over Flowers  #1),Yōko Kamio/神尾葉子,fre
Hana Yori Dango 3 (Boys Over Flowers  #3),Yōko Kamio/神尾葉子,fre
Hana Yori Dango 2 (Boys Over Flowers  #2),Yōko Kamio/神尾葉子,fre
Voices (Annals of the Western Shore  #2),Ursula K. Le Guin,eng
Gifts (Annals of the Western Shore  #1),Ursula K. Le Guin,eng
Lao Tzu: Tao Te Ching: A Book about the Way and the Power of the Way,Lao Tzu/Ursula K. Le Guin/J.P. Seaton,eng
The Wave in the Mind: Talks and Essays on the Writer  the Reader and the Imagination,Ursula K. Le Guin,eng
The Dispossessed,Ursula K. Le Guin,eng
Five Complete Novels,Ursula K. Le Guin,eng
Tehanu (Earthsea Cycle  #4),Ursula K. Le Guin,eng
Changing Planes,Ursula K. Le Guin,eng
The Other Wind (Earthsea Cycle  #6),Ursula K. Le Guin/Samuel Roukin,eng
Tales from Earthsea (Earthsea Cycle  #5),Ursula K. Le Guin,eng
Jane on Her Own (Catwings  #4),Ursula K. Le Guin/S.D. Schindler,eng
Tehanu (Earthsea Cycle  #4),Ursula K. Le Guin,eng
The Tombs of Atuan (Earthsea Cycle  #2),Ursula K. Le Guin/Margot Paronis,eng
Catwings (Catwings #1),Ursula K. Le Guin/S.D. Schindler,eng
Wonderful Alexander and the Catwings,Ursula K. Le Guin/S.D. Schindler,eng
The Farthest Shore (Earthsea Cycle  #3),Ursula K. Le Guin,eng
The Life and Games of Mikhail Tal,Mikhail Tal/Iakov Damsky/Kenneth P. Neat,eng
Tal-Botvinnik 1960,Mikhail Tal/Hanon W. Russell,eng
Don Quixote,Miguel de Cervantes Saavedra/John Rutherford,eng
Cromartie High School  Vol. 06,Eiji Nonaka/Brendan Frayne,eng
Cromartie High School  Vol. 05,Eiji Nonaka/Brendan Frayne,eng
Cromartie High School  Vol. 01,Eiji Nonaka/Brendan Frayne,eng
Cromartie High School  Vol. 02,Eiji Nonaka/Brendan Frayne,eng
Bleach  Volume 16,Tite Kubo,eng
Bleach  Volume 13,Tite Kubo,eng
Bleach  Volume 10,Tite Kubo,eng
Bleach  Volume 18,Tite Kubo,eng
Bleach  Volume 17,Tite Kubo,eng
Bleach  Volume 19,Tite Kubo,eng
Bleach  Volume 20,Tite Kubo,eng
